title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
The Conspirator	2010	PG-13	13.0	122	Crime; Drama; History	Robert Redford	James McAvoy; Robin Wright; Kevin Kline; Evan Rachel Wood	In the wake of Abraham Lincolns assassination seven men and one woman are arrested and charged with conspiring to kill the President the Vice-President and the Secretary of State The lone woman charged Mary Surratt 42 owns a boarding house where John Wilkes Booth and others met and planned the simultaneous attacks Against the ominous back-drop of post-Civil War Washington newly-minted lawyer Frederick Aiken a 28-year-old Union war-hero reluctantly agrees to defend Surratt before a military tribunal As the trial unfolds Aiken realizes his client may be innocent and that she is being used as bait and hostage in order to capture the only conspirator to have escaped a massive manhunt her own son	English	USA	2 wins & 3 nominations	6.9	55.0	55	11538204.0	Roadside Attractions	15-Apr-11	12728.0	9.0	23.0	2.0	25000000.0	11538204.0	Roadside Attractions	70393057	-16729471	17873617	18312090	29770678	20534031	646808	968607
Contagion	2011	PG-13	13.0	106	Drama; Thriller	Steven Soderbergh	Gwyneth Paltrow; Tien You Chui; Josie Ho; Daria Strokous	Soon after her return from a business trip to Hong Kong Beth Emhoff dies from what is a flu or some other type of infection Her young son dies later the same day Her husband Mitch however seems immune Thus begins the spread of a deadly infection For doctors and administrators at the US Centers for Disease Control several days pass before anyone realizes the extent or gravity of this new infection They must first identify the type of virus in question and then find a means of combating it a process that will likely take several months As the contagion spreads to millions of people worldwide societal order begins to break down as people panic	English; Mandarin; Cantonese	USA; United Arab Emirates	2 wins & 13 nominations	6.6	84.0	70	75638743.0	Warner Bros.	9-Sep-11	8337784.0	5559.0	10924.0	1041.0	60000000.0	75658097.0	Warner Bros.	113968183	18371740	47255284	28094581	26327806	20534031	14702912	25532021
Courageous	2011	PG-13	13.0	129	Drama	Alex Kendrick	Ken Bevel; Alex Kendrick; Kevin Downes; Renee Jewell	Four men one calling: To serve and protect As law enforcement officers they face danger every day Yet when tragedy strikes close to home these fathers are left wrestling with their hopes their fears and their faith From this struggle will come a decision that changes all of their lives With action drama and humor the fourth film from Sherwood Pictures embraces Gods promise to turn the hearts of fathers to their children and the hearts of children to their fathers Souls will be stirred and hearts will be challenged to be  courageous!	English	USA	2 wins & 2 nominations	7.0	30.0	42	34522221.0	Sony Pictures	30-Sep-11	2876472.0	1961.0	7075.0	417.0	2000000.0	34522221.0	TriStar	130305932	32739269	17873617	18312090	10727269	20534031	22953828	25428307
The Descendants	2011	R	17.0	115	Comedy; Drama	Alexander Payne	George Clooney; Shailene Woodley; Amara Miller; Nick Krause	Matt Kings family has lived in Hawaii for generations His extended family - namely he and his many cousins - own 25000 acres of undeveloped land on Kauai held in trust which ends in seven years The easiest thing for the family to do is sell the land before the seven years is up which is all the talk in the state as to whom they sell the property could very well change the face of Kauai Despite the vast wealth that comes with the land Matt has decided to live solely on what he earns as a Honolulu lawyer However Matt has not had a perfect life living in Hawaiian paradise as many believe He and his wife Elizabeth were having problems in their marriage She recently got into a boating accident which has placed her in a coma Their seventeen year old daughter Alex is in boarding school on the big island since they couldnt handle her rebellion which was made all the worse by an argument of an unknown nature between mother and daughter during Alexs last visit home And their ten year old daughter Scottie is starting to act out which Matt doesnt know if he can handle potentially raising her on his own Matt decides to bring Alex home upon news that Elizabeth is brain dead and that she will be pulled off life support But revelations about Elizabeth and Alexs argument which is tied indirectly to the issue of the land sale leads to some decisions on Matts part about what is best for him in both mourning Elizabeths death and what is the best thing to do about the land the two decisions which may be incompatible	English	USA	Won 1 Oscar Another 66 wins & 142 nominations	7.3	89.0	84	78500000.0	Fox Searchlight Pictures	16-Nov-11	4596764.0	1110.0	4838.0	334.0		82584160.0	Fox Searchlight	243838763	14896275	17873617	18312090	33695363	10903945	13157319	13559659
The Dilemma	2011	PG-13	13.0	111	Comedy; Drama	Ron Howard	Vince Vaughn; Kevin James; Jennifer Connelly; Winona Ryder	A man finds out that what you dont say to a friend is just as important as what you do is this story of how far you can bend a brotherly bond before it snaps Since college confirmed bachelor Ronny (Vaughn) and happily married Nick (James) have been through thick and thin Now partners in an auto design firm the two pals are vying to land a dream project that would launch their company Ronnys girlfriend Beth (Connelly) and Nicks wife Geneva (Ryder) are by their sides But Ronnys world is turned upside down when he inadvertently sees Geneva out with another man and makes it his mission to get answers As the amateur investigation dissolves into mayhem he learns that Nick has a few secrets of his own Now with the clock ticking and pressure mounting on the biggest presentation of their careers Ronny must decide what will happen if he reveals the truth to his best friend	English	USA	1 nomination	5.3	24.0	46	48430355.0	Universal Pictures	14-Jan-11	102653.0	2.0	53.0	5.0	70000000.0	48475290.0	Universal	40357165	-40877616	17873617	18312090	33695363	20534031	26345508	26657449
Dream House	2011	PG-13	13.0	84	Drama; Mystery; Thriller	Jim Sheridan	Daniel Craig; Naomi Watts; Rachel Weisz; Elias Koteas	Some say that all houses have memories For one man his home is the place he would kill to forget A family unknowingly moves into a home where several grisly murders were committedonly to find themselves the killers next target Successful publisher Will Atenton (Craig) quit a job in New York City to relocate his wife Libby (Weisz) and two girls to a quaint New England town But as they settle into their new life they discover their perfect home was the murder scene of a mother and her children And the entire city believes it was at the hands of the husband who survived When Will investigates the tragedy his only lead comes from Ann Paterson (Watts) a neighbor who was close to the family that died As Will and Ann piece together the disturbing puzzle they discover that the story of the last man to leave Wills dream house will be just as horrifying to the one who came next	English	USA; Canada	2 nominations	6.0	6.0	35	21300000.0	Universal Pictures	30-Sep-11	704437.0	151.0	764.0	67.0	50000000.0	21302340.0	Universal	2873127	-18856154	17873617	33362845	44478266	20534031	26345508	26657449
Dylan Dog: Dead of Night	2010	PG-13	13.0	107	Action; Comedy; Crime	Kevin Munroe	Brandon Routh; Anita Briem; Sam Huntington; Taye Diggs	The adventures of supernatural private investigator Dylan Dog who seeks out the monsters of the Louisiana bayou in his signature red shirt black jacket and blue jeans	English	USA	1 nomination	5.1	8.0	31	856849.0	Freestyle Releasing	29-Apr-11	125613.0	89.0	307.0	57.0		1186538.0	Omni Lab/Freestyle Releasing	49568611	10667818	17873617	18312090	52523021	20534031	-3876116	1186538
Everything Must Go	2010	R	17.0	97	Comedy; Drama	Dan Rush	Will Ferrell; Christopher Jordan Wallace; Rebecca Hall; Michael Peña	After Nick is fired from his sales job mostly because of his penchant for alcohol he comes home and finds that his wife has kicked him and all of his stuff out of the house and onto the front lawn He is pretty intent on just sitting in his chair drinking beer on the lawn His cop friend Frank Garcia thinks he should at least pretend to have a yard sale to make it legal He slowly starts making friends with a neighborhood kid who needs something to do and a pregnant wife who has just moved in across the street and Nick finds himself moving on and selling all his stuff	English	USA		6.4	75.0	65	2711210.0	Roadside Attractions	13-May-11	291068.0	59.0	335.0	34.0	5000000.0	2711643.0	Roadside Attractions	17423393	-2288357	17873617	18312090	33695363	10903945	646808	968607
Final Destination 5	2011	R	17.0	92	Fantasy; Horror; Mystery	Steven Quale	Nicholas D'Agosto; Emma Bell; Miles Fisher; Ellen Wroe	In this latest installment to the horror franchise Sam and his friends manages to escape a ill-fated bridge thanks to a premonition Sam obtained However when two of his friends died in a mysterious way Sam must use his memories from the premonition to save his friends before death hunts him down	English; Cantonese	USA; Canada; Singapore; Hong Kong	2 wins & 6 nominations	5.9	62.0	50	42500000.0	Warner Bros.	12-Aug-11	890849.0	873.0	1505.0	258.0	40000000.0	42587643.0	Warner Bros. (New Line)	1107258	2587643	37025950	66492486	50063197	10903945	14702912	41423256
Friends with Benefits	2011	R	17.0	109	Comedy; Romance	Will Gluck	Justin Timberlake; Mila Kunis; Patricia Clarkson; Jenna Elfman	Jamie Rellis (Mila Kunis) is a New York City head-hunter trying to sign Los Angeles-based art director Dylan Harper (Justin Timberlake) for her client When he takes the job and makes the move they quickly become friends Their friendship turns into a friendship with benefits but with Jamies emotionally damaged past and Dylans history of being emotionally unavailable they have to try to not fall for each other the way Hollywood romantic comedies dictate	English	USA	1 win & 5 nominations	6.6	69.0	63	55802754.0	Sony/Screen Gems	22-Jul-11	1683058.0	46.0			35000000.0	55802754.0	Sony / Screen Gems	70358349	35602109	17873617	18312090	37805640	10903945	22793865	21950408
Fright Night	2011	R	17.0	106	Comedy; Horror	Craig Gillespie	Anton Yelchin; Colin Farrell; Toni Collette; David Tennant	A remake of the 1985 original teenager Charley Brewster (Yelchin) guesses that his new neighbor Jerry Dandrige (Farrell) is a vampire responsible for a string of recent deaths When no one he knows believes him he enlists Peter Vincent (Tennant) a self proclaimed vampire killer and Las Vegas magician to help him take down Jerry	English	USA	2 wins & 8 nominations	6.4	72.0	64	18298649.0	Walt Disney Pictures	19-Aug-11	4028677.0	3802.0	6273.0	602.0		24922237.0	Columbia	96609737	18871933	17873617	18312090	43125883	10903945	39535272	24922237
From Prada to Nada	2011	PG-13	13.0	107	Comedy; Drama; Romance	Angel Gracia	Camilla Belle; Alexa PenaVega; Tina French; Luis Rosales	When their dad dies on his 55th birthday Beverley Hills sisters Mary and Nora find themselves destitute forced by a grasping sister-in-law to move in with their aunt in East LA Mary the younger sister is mortified: spoiled by her dad ignorant of Spanish scared of the vatos Her sister convinces her to finish college and she promptly decides that one of her TAs will be her ticket back to Rodeo Drive Elder sister Nora a law student gets a job as a legal intern and Edward her supervisor the brother of the grasping sister-in-law promptly falls for her Slowly the sisters realize what a rich place the barrio is at the same time that they get bruised in the contact sport of love	English; Spanish	Mexico; USA	2 wins & 3 nominations	5.5	21.0	39	3016244.0	Lionsgate Films	28-Jan-11	19467.0	3.0	17.0	1.0		3033623.0	Lionsgate	18265546	3033623	36646372	35201078	48532909	20534031	27026675	19635505
The Girl with the Dragon Tattoo	2011	R	17.0	158	Crime; Drama; Mystery	David Fincher	Daniel Craig; Rooney Mara; Christopher Plummer; Stellan Skarsgård	This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist Mikael Blomkvist (Daniel Craig) as he investigates the disappearance of a wealthy patriarchs niece from 40 years ago He is aided by the pierced tattooed punk computer hacker named Lisbeth Salander (Rooney Mara) As they work together in the investigation Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined	English	USA; Sweden; Norway	Won 1 Oscar Another 27 wins & 90 nominations	7.8	86.0	71	102515793.0	Sony Pictures	20-Dec-11	454923.0	310.0	1016.0	70.0	13000000.0	10095170.0	Music Box Films	23758823	-88181	17873617	26919494	39878631	10903945	22953828	-2904830
A Good Old Fashioned Orgy	2011	R	17.0	95	Comedy; Romance	Alex Gregory; Peter Huyck	Jason Sudeikis; Leslie Bibb; Lake Bell; Michelle Borth	A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy	English	USA		6.2	33.0	44	11756400.0	Samuel Goldwyn Films	2-Sep-11	132438.0	18.0	53.0	36.0		200227.0	Samuel Goldwyn	32276576	400454	17873617	18312090	37805640	10903945	1440917	3908536
The Green Hornet	2011	PG-13	13.0	119	Action; Comedy; Crime	Michel Gondry	Seth Rogen; Jay Chou; Cameron Diaz; Tom Wilkinson	Playboy Britt Reid (Seth Rogen) becomes the new publisher of Los Angeles The Daily Sentinel after the sudden death of his father Britts party life is about to change when he and his driver and kung fu expert Kato (Jay Chou) stop a robbery With the help of Kato Britt starts a new career of fighting crime as the masked superhero The Green Hornet	English; Mandarin	USA	4 wins & 7 nominations	5.8	43.0	39	98000000.0	Sony Pictures	14-Jan-11	2351898.0	1486.0	2848.0	266.0	120000000.0	98780042.0	Sony / Columbia	32256316	-21219958	28102951	18312090	52523021	20534031	22953828	21191761
Hall Pass	2011	R	17.0	105	Comedy; Romance	Bobby Farrelly; Peter Farrelly	Owen Wilson; Jason Sudeikis; Jenna Fischer; Christina Applegate	A couple of married guys are always looking at other women Their wives are fed up with their behavior and grant them a hall pass: a week off their marriage allowing them to do anything But the guys take their time and their week is almost up What they dont realize is that at the same time their wives make connections of their own	English	USA		5.9	34.0	45	45045037.0	Warner Bros. Pictures	25-Feb-11	1706753.0	228.0	1728.0	133.0	36000000.0	45060734.0	Warner Bros. (New Line)	54200443	20445949	17873617	18312090	37805640	10903945	27495698	41423256
Hanna	2011	PG-13	13.0	111	Action; Drama; Thriller	Joe Wright	Saoirse Ronan; Eric Bana; Vicky Krieps; Cate Blanchett	Hanna (Ronan) is a teenage girl Uniquely she has the strength the stamina and the skills of a soldier these come from being raised by her father (Bana) an ex-CIA man in the wilds of Finland Living a life unlike any other teenager her upbringing and training have been one and the same all geared to making her the perfect assassin The turning point in her adolescence is a sharp one sent into the world by her father on a mission Hanna journeys stealthily across Europe while eluding agents dispatched after her by a ruthless intelligence operative with secrets of her own (Blanchett) As she nears her ultimate target Hanna faces startling revelations about her existence and unexpected questions about her humanity	English; French; German; Italian; Arabic; Spanish	USA; UK; Germany	8 wins & 25 nominations	6.8	71.0	65	40200000.0	Focus Features	8-Apr-11	29329.0	4.0	17.0	1.0	30000000.0	40259119.0	Focus Features	58026433	26392412	104443875	42557252	44881831	20534031	10408181	8513200
Happy Feet Two	2011	PG	7.0	100	Animation; Comedy; Family	George Miller; Gary Eck(co-director); David Peers(co-director)	Carlos Alazraqui; Lombardo Boyar; Jeffrey Garcia; Johnny A. Sanchez	Mumble the penguin has a problem: his son Erik who is reluctant to dance encounters The Mighty Sven a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces causing him to brings together the penguin nations and their allies to set things right	English	Australia	3 wins & 9 nominations	5.9	46.0	50	63992328.0	Warner Bros. Pictures	18-Nov-11	8247515.0	1616.0	7207.0	930.0		64006466.0	Warner Bros.	324013564	183227311	17873617	3365950	97955633	32411955	27495698	25532021
The Help	2011	PG-13	13.0	146	Drama	Tate Taylor	Emma Stone; Viola Davis; Bryce Dallas Howard; Octavia Spencer	Set in Mississippi during the 1960s Skeeter (Stone) is a southern society girl who returns from college determined to become a writer but turns her friends lives -- and a Mississippi town -- upside down when she decides to interview the black women who have spent their lives taking care of prominent southern families Aibileen (Davis) Skeeters best friends housekeeper is the first to open up -- to the dismay of her friends in the tight-knit black community Despite Skeeters life-long friendships hanging in the balance she and Aibileen continue their collaboration and soon more women come forward to tell their stories -- and as it turns out they have a lot to say Along the way unlikely friendships are forged and a new sisterhood emerges but not before everyone in town has a thing or two to say themselves when they become unwittingly -- and unwillingly -- caught up in the changing times	English	USA; India; United Arab Emirates	Won 1 Oscar Another 79 wins & 116 nominations	8.1	75.0	62	169705587.0	DreamWorks Studios	10-Aug-11	819630.0	405.0	2330.0	74.0	25000000.0	169708112.0	Buena Vista	339717599	67958067	17873617	53041176	10727269	20534031	69904274	53164745
Higher Ground	2011	R	17.0	109	Drama	Vera Farmiga	Joshua Leonard; Norbert Leo Butz; Michael Chernus; Vera Farmiga	Vera Farmigas directorial debut HIGHER GROUND depicts the landscape of a tight-knit spiritual community thrown off-kilter when one of their own begins to question her faith Inspired by screenwriter Carolyn S Briggs memoir This Dark World the film tells the story of a thoughtful womans struggles with belief love and trust - in human relationships as well as in God	English	USA	1 win & 7 nominations	6.3	80.0	74	841056.0	Sony Pictures Classics	26-Aug-11	12790.0	0.0	5.0	8.0	2000000.0	841733.0	Sony Classics	35239985	-1158267	17873617	18312090	10727269	10903945	4912298	4384911
Horrible Bosses	2011	R	17.0	98	Comedy; Crime	Seth Gordon	Jason Bateman; Steve Wiebe; Kevin Spacey; Charlie Day	Nick hates his boss mostly because hes expected to work from before sunrise to after sunset and his boss Mr Harken calls him out for being a minute late and blackmails him so he cant quit Dale hates his boss Dr Julia Harris because she makes unwelcome sexual advances when hes about to get married But Dale is on that pesky list of child offenders so he cant quit Kurt actually likes his job and his boss well up until his boss dies and the bosss coked-out psychopathic son takes over But who would be crazy enough to quit their jobs in such poor economic times? Instead Nick Dale and Kurt drunkenly and hypothetically discuss how to kill their bosses and before they know it theyve hired a murder consultant to help them pull off the three deeds	English	USA	3 wins & 11 nominations	6.9	69.0	57	116900000.0	Warner Bros. Pictures	8-Jul-11	1268139.0	236.0	2252.0	85.0	35000000.0	117538559.0	Warner Bros. (New Line)	150403912	21924793	17873617	18312090	33968996	10903945	27495698	41423256
Hugo	2011	PG	7.0	126	Adventure; Drama; Family	Martin Scorsese	Ben Kingsley; Sacha Baron Cohen; Asa Butterfield; Chloë Grace Moretz	Hugo is an orphan boy living in the walls of a train station in 1930s Paris He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesnt work without a special key Hugo needs to find the key to unlock the secret he believes it contains On his adventures he meets George Melies a shopkeeper who works in the train station and his adventure-seeking god-daughter Hugo finds that they have a surprising connection to his father and the automaton and he discovers it unlocks some memories the old man has buried inside regarding his past	English	USA	Won 5 Oscars Another 57 wins & 186 nominations	7.5	94.0	83	73820094.0	Paramount Studios	23-Nov-11	164313.0	57.0	330.0	23.0		73864507.0	Paramount	143017899	45382600	17873617	18312090	67919395	32411955	25482415	21368996
I Am Number Four	2011	PG-13	13.0	109	Action; Adventure; Sci-Fi	D.J. Caruso	Alex Pettyfer; Timothy Olyphant; Teresa Palmer; Dianna Agron	Extraordinary teen John Smith (Pettyfer) is a fugitive on the run from ruthless enemies sent to destroy him Changing his identity moving from town to town with his guardian Henri (Olyphant) John is always the new kid with no ties to his past In the small Ohio town he now calls home John encounters unexpected life-changing events-his first love (Agron) powerful new abilities and a connection to the others who share his incredible destiny	English; French	USA	1 win & 1 nomination	6.1	33.0	36	55086029.0	DreamWorks Studios	18-Feb-11	52833.0	3.0	30.0	5.0	60000000.0	55100437.0	Buena Vista	67820013	10433143	35639607	18312090	75295325	20534031	69904274	53164745
The Ides of March	2011	R	17.0	101	Drama; Thriller	George Clooney	Ryan Gosling; George Clooney; Philip Seymour Hoffman; Paul Giamatti	Stephen Meyers is a young idealist whos brilliant at communications is second in command of Governor Mike Morriss presidential campaign and is a true believer In the middle of the Ohio primary the campaign manager of Morriss opponent asks Meyers to meet he offers him a job At the same time Morriss negotiations for the endorsement of the man in third place a North Carolina Senator hit a snag A young campaign intern Molly Stearns gets Stephens romantic attention Republicans have a trick up their sleeve Stephen may be too trusting and Molly has a secret Whats most important career victory or virtue?	English	USA	Nominated for 1 Oscar Another 9 wins & 34 nominations	7.1	84.0	67	40962534.0	Sony Pictures	7-Oct-11	2283543.0	367.0	2397.0	146.0		40962534.0	Sony / Columbia	39165360	7035817	17873617	18312090	26327806	10903945	22953828	21191761
Immortals	2011	R	17.0	110	Action; Drama; Fantasy	Tarsem Singh	Henry Cavill; Mickey Rourke; Stephen Dorff; Freida Pinto	Eons after the Gods won their mythic struggle against the Titans a new evil threatens the land Mad with power King Hyperion (Mickey Rourke) has declared war against humanity Amassing a bloodthirsty army of soldiers disfigured by his own hand Hyperion has scorched Greece in search of the legendary Epirus Bow a weapon of unimaginable power forged in the heavens by Ares Only he who possesses this bow can unleash the Titans who have been imprisoned deep within the walls of Mount Tartaros since the dawn of time and thirst for revenge In the kings hands the bow would rain destruction upon mankind and annihilate the Gods But ancient law dictates the Gods must not intervene in mans conflict They remain powerless to stop Hyperionuntil a peasant named Theseus (Henry Cavill) comes forth as their only hope Secretly chosen by Zeus Theseus must save his people from Hyperion and his hordes Rallying a band of fellow outsiders - including visionary priestess Phaedra (Freida Pinto) and cunning slave Stavros (Stephen Dorff) - one hero will lead the uprising or watch his homeland fall into ruin and his Gods vanish into legend	English; Greek	USA	1 win & 6 nominations	6.0	36.0	46	83488546.0	Relativity Media	11-Nov-11	108618.0	44.0	280.0	32.0	75000000.0	83504017.0	Relativity	106626836	8504017	57432630	18312090	41036242	10903945	9270625	9611424
Inside Out	2015	PG	7.0	95	Animation; Adventure; Comedy	Pete Docter; Ronnie Del Carmen(co-director)	Amy Poehler; Phyllis Smith; Richard Kind; Bill Hader	Growing up can be a bumpy road and its no exception for Riley who is uprooted from her Midwest life when her father starts a new job in San Francisco Like all of us Riley is guided by her emotions - Joy Fear Anger Disgust and Sadness The emotions live in Headquarters the control center inside Rileys mind where they help advise her through everyday life As Riley and her emotions struggle to adjust to a new life in San Francisco turmoil ensues in Headquarters Although Joy Rileys main and most important emotion tries to keep things positive the emotions conflict on how best to navigate a new city house and school	English	USA	Won 1 Oscar Another 93 wins & 112 nominations	8.2	98.0	94	264317903.0	Disney/Pixar	19-Jun-15	7099877.0	1108.0	16565.0	1436.0	175000000.0	356461711.0	Buena Vista	397495607	362923422	17873617	18312090	106602917	32411955	142456454	53164745
J. Edgar	2011	R	17.0	137	Biography; Crime; Drama	Clint Eastwood	Leonardo DiCaprio; Josh Hamilton; Geoff Pierson; Cheryl Lawson	Biopic of J Edgar Hoover told by Hoover as he recalls his career for a biography Early in his career Hoover fixated on Communists anarchists and any other revolutionary taking action against the US government He slowly builds the agencys reputation becoming the sole arbiter of who gets hired and fired One of his hires is Clyde Tolson who is quickly promoted to Assistant Director and would be Hoovers confidant and companion for the rest of Hoovers life Hoovers memories have him playing a greater role in the many high profile cases the FBI was involved in - the Lindbergh baby kidnapping the arrest of bank robbers like John Dillinger - and also show him to be quite adept at manipulating the various politicians hes worked with over his career thanks in large part to his secret files	English	USA	Nominated for 1 Golden Globe Another 5 wins & 16 nominations	6.6	43.0	59	37304451.0	Warner Bros. Pictures	9-Nov-11	1065613.0	716.0	1397.0	73.0	35000000.0	37306030.0	Warner Bros.	27200935	24624924	17873617	18312090	33100891	10903945	27495698	25532021
Jack and Jill	2011	PG	7.0	91	Comedy	Dennis Dugan	Adam Sandler; Al Pacino; Katie Holmes; Elodie Tougne	Jack Sadelstein is a successful advertising executive in Los Angeles with a beautiful wife and kids who dreads one event each year: the Thanksgiving visit of his identical twin sister Jill Jills neediness and passive-aggressiveness is maddening to Jack turning his normally tranquil life upside down	English	USA	14 wins & 5 nominations	3.4	3.0	23	74158157.0	Sony Pictures	11-Nov-11	837416.0	1993.0	1956.0	5750.0	79000000.0	74158157.0	Sony / Columbia	34336434	43609289	17873617	18312090	22968094	32411955	22953828	21191761
Jumping the Broom	2011	PG-13	13.0	112	Comedy; Drama	Salim Akil	Angela Bassett; Paula Patton; Laz Alonso; Loretta Devine	Two very different families converge on Marthas Vineyard one weekend for a wedding	English	USA	3 wins & 13 nominations	5.7	57.0	56	37295394.0	Sony Pictures	6-May-11	4360404.0	894.0	4594.0	491.0	6600000.0	37295394.0	TriStar	70961035	30695394	17873617	18312090	33695363	20534031	22953828	25428307
Justin Bieber: Never Say Never	2011	G	1.0	105	Documentary; Music	Jon M. Chu	Justin Bieber; Boyz II Men; Miley Cyrus; Sean Kingston	The camera follows Justin Bieber (1994- ) during the ten days leading up to his August 2010 sold-out show at Madison Square Garden Footage of these ten days of concerts rehearsals and down time with boyhood friends his mom and his entourage is inter-cut with home movies old photos and interviews showing a musical prodigy who loves to perform comes to the attention of an Atlanta agent via YouTube impresses Usher and rockets to international stardom soon after his 15th birthday His manager emphasizes the importance of social media and of Justins work ethic and personality in making him a star the camera emphasizes Biebers look His mom and grandparents shine	English	USA	2 wins & 7 nominations	1.6	64.0	52	73000942.0	Paramount Pictures	11-Feb-11	15839866.0	15596.0	42697.0	31377.0	13000000.0	73013910.0	Paramount	186798412	39204170	17873617	18312090	20296814	46884506	19901623	21368996
Kill the Irishman	2011	R	17.0	106	Biography; Crime; Drama	Jonathan Hensleigh	Ray Stevenson; Vincent D'Onofrio; Val Kilmer; Christopher Walken	The true story of Danny Greene an impoverished but charismatic young Irish-American who rises to power as president of the longshoremans local union and is charged with corruption but evades serious jail time by becoming an FBI informant With fearless nerve he joins forces with a Mafia gangster to rise to power in Clevelands underworld gaining the reputation of a Robin Hood-like figure with nine lives as he escapes countless assassination attempts	English	USA	1 nomination	7.1	63.0	50	1187711.0	Anchor Bay Entertainment	11-Mar-11	1769645.0	1086.0	2246.0	111.0		1188194.0	Anchor Bay Films	283819490	1188194	17873617	18312090	33100891	10903945	-867165	-712673
Killer Elite	2011	R	17.0	116	Action; Crime; Thriller	Gary McKendry	Jason Statham; Clive Owen; Robert De Niro; Dominic Purcell	Loosely based on a true story Killer Elite pits two of the worlds most elite operatives - Danny a ruthless killer-for-hire (Jason Statham) and Hunter his longtime mentor (Robert De Niro) - against the cunning leader of a secret society of former Special Air Service operatives(Clive Owen) Covering the globe from Australia to Paris London and the Middle East Danny and Hunter are plunged into a highly dangerous game of revenge and deception - where things are not always what they appear to be	English; Arabic; French; Spanish	UK; Australia	2 wins & 7 nominations	6.5	25.0	44	25093607.0	Open Road Films	23-Sep-11	3889401.0	1404.0	3968.0	193.0	70000000.0	25124966.0	Open Road Films	-55057542	-44875034	71859919	18431181	45155464	10903945	3732729	4955309
Larry Crowne	2011	PG-13	13.0	98	Comedy; Drama; Romance	Tom Hanks	Tom Hanks; Sarah Mahoney; Roxana Ortega; Randall Park	Until he was downsized affable amiable Larry Crowne (Hanks) was a superstar team leader at the big-box company where hes worked since his time in the Navy Underwater on his mortgage and unclear on what to do with his suddenly free days Larry heads to his local college to start over There he becomes part of a colorful community of outcasts also-rans and the overlooked all trying to find a better future for themselvesoften moving around town in a herd of scooters In his public-speaking class Larry develops an unexpected crush on his teacher Mercedes Tainot (Roberts) who has lost as much passion for teaching as she has for her husband The simple guy who has every reason to think his life has stalled will come to learn an unexpected lesson: when you think everything worth having has passed you by you just might discover your reason to live	English	USA	3 nominations	6.1	35.0	41	35565975.0	Universal Pictures	1-Jul-11	168744.0	23.0	163.0	14.0	30000000.0	35608245.0	Universal	62146533	5608245	17873617	18312090	48532909	20534031	26345508	26657449
Limitless	2011	PG-13	13.0	105	Mystery; Sci-Fi; Thriller	Neil Burger	Bradley Cooper; Robert De Niro; Abbie Cornish; Andrew Howard	An action-thriller about a writer who takes an experimental drug that allows him to use 100 percent of his mind As one man evolves into the perfect version of himself forces more corrupt than he can imagine mark him for assassination Out-of-work writer Eddie Morras (Cooper) rejection by girlfriend Lindy (Abbie Cornish) confirms his belief that he has zero future That all vanishes the day an old friend introduces Eddie to NZT a designer pharmaceutical that makes him laser focused and more confident than any man alive Now on an NZT-fueled odyssey everything Eddies read heard or seen is instantly organized and available to him As the former nobody rises to the top of the financial world he draws the attention of business mogul Carl Van Loon (De Niro) who sees this enhanced version of Eddie as the tool to make billions But brutal side effects jeopardize his meteoric ascent With a dwindling stash and hit men who will eliminate him to get the NZT Eddie must stay wired long enough to elude capture and fulfill his destiny If he cant he will become just another victim who thought hed found invincibility in a bottle	English; Russian; Italian; Mandarin; French	USA	2 wins & 8 nominations	7.4	69.0	59	79230923.0	Relativity Media	18-Mar-11	4211769.0	2246.0	8572.0	172.0	27000000.0	79249455.0	Relativity	95369898	35458239	68446290	18312090	57572592	20534031	9270625	9611424
The Lincoln Lawyer	2011	R	17.0	118	Crime; Drama; Thriller	Brad Furman	Matthew McConaughey; Marisa Tomei; Ryan Phillippe; William H. Macy	Mick Haller is a defense lawyer who works out of his Lincoln When a wealthy Realtor is accused of assaulting a prostitute Haller is asked to defend him The man claims that the woman is trying to get some money out of him But when Haller looks at the evidence against him he learns that this case might be linked to an old case of his	English	USA	1 nomination	7.3	83.0	63	57900000.0	Lionsgate Films	18-Mar-11	2789114.0	588.0	2230.0	127.0	40000000.0	58009200.0	Lionsgate	116468017	16723004	17873617	18312090	37328708	10903945	27026675	19635505
Lucky	2017	NOT RATED		88	Comedy; Drama	John Carroll Lynch	Harry Dean Stanton; David Lynch; Ron Livingston; Ed Begley Jr.	The spiritual journey of a ninety-year-old atheist	English; Spanish	USA	10 wins & 15 nominations	7.5		79		Lucky Movies	29-Sep-17	533715.0	137.0	1556.0	79.0		453507.0	Eros	33461418	453507	36646372	18312090	33695363	96835	453507	453507
